shape,noise,elements,area,perimeter,aspect_ratio,circularity,compactness,eccentricity,orientation,feret_max,feret_min,feret_mean,malinowska,zwykly11,centralny11,znormalizowany11
triangle,translate_small,largest,5132,464,1.125,0.29954394876305773,41.95167575993764,3.38998139074338,0.6787470904873583,141.8238343861849,1.0,58.85903836165942,0.8271311622571766,78621356,1608929.5580670303,0.06108910112344435
triangle,translate_big,full,5132,464,1.125,0.29954394876305773,41.95167575993764,3.38998139074338,0.6787470904873583,141.8238343861849,1.0,58.85903836165942,0.8271311622571766,109331556,1608929.5580670303,0.06108910112344435
triangle,translate_big,largest,5132,464,1.125,0.29954394876305773,41.95167575993764,3.38998139074338,0.6787470904873583,141.8238343861849,1.0,58.85903836165942,0.8271311622571766,109331556,1608929.5580670303,0.06108910112344435
ring,clean,largest,7392,676,1.0,0.20327240726283877,61.82034632034632,1.0,0,112.0,1.0,61.42865232208725,1.2179961339614613,87085152,0.0,0.0
ring,salt_pepper,full,12388,9893,1.0,0.0015905782611911816,7900.504439780433,1.0786753204269812,0.21456448925590793,358.50383540486706,1.0,112.94990522978483,24.073934020318006,175851419,672027.2128672838,0.004379096001870553
ring,salt_pepper,largest,6742,4247,0.9741379310344828,0.004697146332965157,2675.320231385346,1.007599189452443,-1.0463090046134096,119.57006314291216,1.0,57.19192259215371,13.590929360029314,79528318,-21728.373479679634,-0.00047802402151915117
ring,gaussian,full,9860,5454,1.0,0.004165398072729275,3016.8474645030424,1.0679750159420693,0.08802172884730473,355.7091508522096,1.0,108.41451075484605,14.494292280222263,130981368,144833.04918864844,0.001489751543810594
ring,gaussian,largest,7087,2681,1.0,0.012390210045097974,1014.2177225906589,1.0087944833686648,-1.0865636567969978,115.15641536623133,1.0,57.88314339476527,7.9838122175863635,83333166,-25060.165091011706,-0.0004989523382206324
ring,blur,full,7392,664,1.0,0.2106859930263441,59.64502164502164,1.0,0,111.94641575325224,1.0,61.591343927571536,1.178623421524276,87085152,0.0,0.0
ring,blur,largest,7392,664,1.0,0.2106859930263441,59.64502164502164,1.0,0,111.94641575325224,1.0,61.591343927571536,1.178623421524276,87085152,0.0,0.0
ring,erode,full,6716,672,1.0,0.1868882534501581,67.24002382370459,1.0,0,109.48972554536796,1.0,60.14826766375519,1.3131777023349707,79121196,0.0,0.0
ring,erode,largest,6716,672,1.0,0.1868882534501581,67.24002382370459,1.0,0,109.48972554536796,1.0,60.14826766375519,1.3131777023349707,79121196,0.0,0.0
ring,dilate,full,8068,672,1.0,0.22451078451993384,55.97223599405057,1.0,0,114.76933388322858,1.0,63.051496576065645,1.110480754989163,95049108,0.0,0.0
ring,dilate,largest,8068,672,1.0,0.22451078451993384,55.97223599405057,1.0,0,114.76933388322858,1.0,63.051496576065645,1.110480754989163,95049108,0.0,0.0
ring,rotate_15,full,7394,713,0.9911504424778761,0.18277224677856382,68.75426021098188,1.0011977747893963,-0.6609303350309389,112.79184367674819,1.0,61.50888057085365,1.3390789182073557,84584539,-4196.638761157702,-7.676136608943141e-05
ring,rotate_15,largest,7394,713,0.9911504424778761,0.18277224677856382,68.75426021098188,1.0011977747893963,-0.6609303350309389,112.79184367674819,1.0,61.50888057085365,1.3390789182073557,84584539,-4196.638761157702,-7.676136608943141e-05
ring,rotate_30,full,7400,711,0.9911504424778761,0.18395109707857413,68.31364864864865,1.0038283084302948,-0.3446264450854341,112.80514172678478,1.0,61.50193194648468,1.3315718799851965,84011526,-8804.1081081083,-0.00016077626201804784
ring,rotate_30,largest,7400,711,0.9911504424778761,0.18395109707857413,68.31364864864865,1.0038283084302948,-0.3446264450854341,112.80514172678478,1.0,61.50193194648468,1.3315718799851965,84011526,-8804.1081081083,-0.00016077626201804784
ring,rotate_45,full,7403,724,1.0,0.17747634698670095,70.80588950425503,1.0021256474439815,0.9395752657389114,112.60550608207397,1.0,61.28813497952704,1.373721478461694,85234414,7329.052951506164,0.00013373108268544898
ring,rotate_45,largest,7403,724,1.0,0.17747634698670095,70.80588950425503,1.0021256474439815,0.9395752657389114,112.60550608207397,1.0,61.28813497952704,1.373721478461694,85234414,7329.052951506164,0.00013373108268544898
ring,scale_08,full,4750,538,1.0,0.20622386512833593,60.93557894736842,1.00098045936638,0.7853981633977671,90.24965373894794,1.0,49.15042752841785,1.202067051617652,60225974,1460.315789473711,6.472313748359939e-05
ring,scale_08,largest,4750,538,1.0,0.20622386512833593,60.93557894736842,1.00098045936638,0.7853981633977671,90.24965373894794,1.0,49.15042752841785,1.202067051617652,60225974,1460.315789473711,6.472313748359939e-05
ring,scale_12,full,10660,808,1.0,0.20518440402452698,61.244277673545966,1.0004990887229852,-0.7853981633957087,135.55810562264435,1.0,73.85190854060312,1.207637824444653,116230808,-3747.5768292681864,-3.297889771575269e-05
ring,scale_12,largest,10660,808,1.0,0.20518440402452698,61.244277673545966,1.0004990887229852,-0.7853981633957087,135.55810562264435,1.0,73.85190854060312,1.207637824444653,116230808,-3747.5768292681864,-3.297889771575269e-05
ring,translate_small,full,7392,676,1.0,0.20327240726283877,61.82034632034632,1.0,0,112.0,1.0,61.42865232208725,1.2179961339614613,108706752,0.0,0.0
